id,text,len tweet,likes,rt,position
1265299398629617664,Warface: Breakout (@PlayBreakout) is now available for Xbox One and has two editions to choose from… https://t.co/5vbbSOTSSG,124,187,29,0
1265296720830685186,"Xbox Live Gold and Xbox Game Pass Ultimate members, download Shantae and the Pirate’s Curse and Destroy All Humans!… https://t.co/mhWQ5h7PpD",140,2073,449,0
1265191766791122944,"Minecraft Dungeons (@dungeonsgame) is now available for Xbox One and Windows 10, plus it's included in… https://t.co/kmkS4GN52R",127,1788,286,0
1264232488731176961,"RT @Xbox: Ray Tracing                 Xbox Series X
                           🤝
          Holy Grail of Graphics 
               https://t…",140,0,2678,0
1263932166775308288,Ending another busy week with the latest episode of This Week On Xbox. To all the devs/pubs/games that launched or… https://t.co/ockkPdsYbQ,139,201,19,0
1263926321727430657,"Call of Duty Modern Warfare - C.O.D.E. Fearless Pack is now available for Xbox One, includes an Operator, Assault R… https://t.co/41yggr24or",140,180,22,0
1263892654590312448,"Each #freecodefridaycontest winner is also getting a code for Maneater (@maneatergame), now available for Xbox One https://t.co/aBDLa2kmQu",138,431,80,0
1263878751999242240,Your chance to win a code for Saints Row The Third Remastered and a couple other prizes on Xbox One happens in one… https://t.co/pIVjiUOf8B,139,942,152,0
1263840279930351619,Great to see @XboxGamePass members enjoying @DayZ as much as we do. We’ll see the hundreds of thousands of you onli… https://t.co/wBlyGIl85d,140,609,55,0
1263693332380741632,Saints Row The Third Remastered (@SaintsRow) is now available for Xbox One https://t.co/FzTEzH9s4s,98,941,140,0
1263691338177900545,Monstrum from @TeamJunkfish and @SOEDESCO is now available for Xbox One https://t.co/dM6XyQ4SHH,95,137,16,0
1263689468411695106,The Taller I Grow from @noobles_studio is now available for Xbox One and Windows 10 (Xbox Play Anywhere) https://t.co/WFBMs9VUTs,128,89,12,0
1263686321572179968,Genetic Disaster is now available for Digital Pre-order and Pre-download on Xbox One https://t.co/8M08Tvk6Ia,108,104,12,0
1263670570119360514,Project Warlock is now available for Digital Pre-order and Pre-download on Xbox One https://t.co/NPePHYsoqX,107,224,27,0
1263641784489410561,We Were Here Together is now available for Digital Pre-order and Pre-download on Xbox One https://t.co/PpRBOV5GSx,113,169,25,0
1263638525490032640,Maneater from @TripwireInt is now available for Xbox One https://t.co/lHMCWWgJ1j https://t.co/xQ6gwaScS0,104,250,40,0
1263632473373544448,ICYMI: The @XboxGamePass library is growing again! https://t.co/3rReJGJe9j,74,307,26,0
1263593880349360129,"Check out @ID_Xbox Game Fest - where we are spotlighting creators, stories, and new ways to play with many ID games… https://t.co/gc9OKTc7fo",140,288,41,0
1263511858192904192,RT @XboxWire: Microsoft and @SpecialOlympics are teaming up for the 2020 Special Olympics Xbox Virtual Gaming Event featuring Forza Motorsp…,140,0,73,0
1263508582806327296,"The New Frontier Pass for Sid Meier's Civilization VI is now available for Xbox One, features eight new civilizatio… https://t.co/NoUVcZXgvT",140,136,19,0
1263508382402490372,Hunting Simulator 2 (@HuntingSim) is now available for Digital Pre-order and Pre-download on Xbox One and has two e… https://t.co/xGn0bZORXJ,140,118,15,0
1263499406868795392,"RT @GroundedTheGame: 🚨 NEWS ALERT 🚨

Grounded will release its Xbox Insider flight AND participate in the Steam Game Festival on June 9th!…",139,0,213,0
1263484740578840576,"Huge shout out &amp; thank you to each and every @XboxGamePass member! 💚🎮 You all made this possible 
",125,4227,549,0
1263462161046622208,"And for the PC gamers, more games coming soon to @XboxGamePassPC. See the details here: https://t.co/nNpl5Ooz92",111,306,31,0
1263454600520056837,More games coming soon to @XboxGamePass. See the list and dates they'll be added here: https://t.co/PtwSX6PrQp,110,1568,256,0
1263315350587764736,The Persistence (@PlayPersistence) from @FireSpriteGames is now available for Xbox One https://t.co/Dok678RmdX,110,234,31,0
